Query,Complexity,Word_Count,Time
Iran's shah in 1900,1,4,782000
Iran's shah during 11th anniversary of Congo Free State establishment,4,10,1682000
USA's 3rd president's country's current president,3,6,1328000
USA's 3rd president's birthday,2,4,1042000
Who was the president of USA during the Vietnam war,2,10,1298000
Who was the president of China during the Vietnam war,2,10,1468000
Who was the president of Russia during the Vietnam war,2,10,1272000
Who was the first child of president of USA during the Vietnam war,3,13,1576000
Who was the successor of the president of USA during the Vietnam war,3,13,1528000
Who was the predecessor of the president of USA at the start date of World War,3,16,2772000
What is Metallica's first music album,1,6,942000
What is Metallica's second music album's release date,2,8,1150000
What is Metallica's last music album,1,6,1508000
The Unforgiven's artist's country,2,4,786000
The Unforgiven's artist's country's president,3,5,960000
Who is the president of the country of the artist of The Unforgiven,3,13,1674000
How many countries are present in Africa,1,7,928000
largest lake in Africa,1,4,608000
largest lake in Sudan's Continent,2,5,1220000
area of largest lake of Africa,2,6,860000
square of the area of largest lake of Africa,3,9,1148000
area of largest lake of Nigeria's continent,3,7,1118000
square root of area of largest lake of Nigeria's continent,4,10,1356000
world's largest river's length in km,3,6,1062000
world's largest river's length in m,3,6,1518000
length of the world's largest river,2,6,972000
length of the largest river in Asia,2,7,882000
Which ocean does the world's largest river end,2,8,1908000
Indian Ocean's average temperature,1,4,678000
Indian Ocean's average temperature in Kelvin,2,6,898000
Indian Ocean's volume,1,3,652000
largest ocean's volume,1,3,658000
largest ocean's area in square meters,2,6,914000
largest island in the largest ocean,1,6,1458000
area of the largest island within the largest ocean in area,3,11,1788000
area of the largest island of the 2nd largest ocean in area,3,12,1376000
Indian Ocean's volume in cubic meters,2,6,958000
largest ocean of the world,1,5,2542000
Eminem's real name,1,3,608000
Marshall Bruce Mathers's networth,1,4,1428000
Alan Turing's sibling,1,3,604000
Who formulated the Halting Problem,1,5,750000
sibling of the formulator of the Halting Problem,2,8,976000
largest country of the continent of the country of the formulator of the Halting Problem,4,15,1598000
sibling of Halting Problem's formulator,2,5,1166000
Who is Halting Problem's formulator's sibling,-1,6,
the continent of the Halting Problem's formulator's country,3,8,1228000
inventor of bombe,1,3,566000
inventor of dynamite,1,3,666000
death place of the inventor of dynamite,2,7,878000
birth place of the inventor of dynamite,2,7,880000
capital of the death place of the inventor of dynamite,3,10,2190000
capital of the birth place of the inventor of dynamite,3,10,1150000
country of the location of Albenga Airport,2,7,894000
IATA code of Albenga Airport,1,5,1026000
population density of the country of the location of Albenga Airport,3,11,1298000
location of 3rd longest river,1,5,764000
country of the location of 3rd longest river,2,8,1884000
country of the 3rd longest river,1,6,826000
square of number of people a 20 pound turkey feeds,3,10,1180000
What is 1 GBP,1,4,692000
What is 1 GBP in Euros,1,6,902000
What is 1.42 USD in GBP,1,6,852000
General Mill's share,1,3,670000
General Mill's share in GBP,2,5,1250000
General Mill's share in rupees,2,5,816000
start date of the Ming Dynasty,1,6,778000
prime factorization of the starting year of the Ming Dynasty,2,10,1310000
start date of Hundred Year's War,2,6,2406000
king of France 500 years after the start date of Hundred Year's War,3,13,1488000
the country of the king of France 500 years after the start date of Hundred Year's War,4,17,1944000
currency code of the country of the king of France 500 years after the start date of Hundred Year's War,5,20,2110000
gini index of the country of the king of France 500 years after the start date of Hundred Year's War,5,20,2366000
percapita income of the country of the king of France 500 years after the start date of Hundred Year's War,5,20,3132000
tallest tree's height in meters,2,5,876000
length of golden gate bridge,1,5,696000
length of golden gate bridge in KM,2,7,1532000
country of the location of golden gate bridge,2,8,1022000
Who drew Mona Lisa,1,4,656000
Mona Lisa's artist's inventions,2,4,864000
Mona Lisa's artist's father,2,4,776000
winner of Eurovision,1,3,536000
winner of Eurovision 2015,2,4,1702000
location of Eurovision 2014,2,4,628000
country of the location of Eurovision 2014,3,7,1408000
population of the location of Eurovision 2014,3,7,896000
population of the country of the location of Eurovision 2014,4,10,1174000
Eurovision's location,1,2,574000
Eurovision's location's current degree in celcius,3,6,992000
Eurovision's location's nearest city,2,4,788000
Eurovision's location's nearest city's population,3,5,1872000
nearest bus stop from Eurovision's location,2,6,904000
When was easter on 1918,2,5,764000
Who won the 2014 world cup,1,6,818000
president of the country that won the 2014 world cup,2,10,1196000
age of the president of the country that won the 2018 world cup,3,13,1486000
age of the president of the country which was runner-up in 2018 world cup,4,14,1720000
speed of light in kmph,2,5,794000
distance covered by light in one hour,2,7,900000
1 byte in bits,1,4,610000
deepest place on earth,1,4,806000
lowest point of the North Sea,1,6,818000
nearest country to the lowest point of the North Sea,2,10,1110000
largest city of the nearest country to the lowest point of the North Sea,2,14,2006000
depth of the deepest place on earth,2,7,952000
Earth's deepest place's depth in meters,3,6,1008000
tallest mountain in Alps,1,4,668000
height of the tallest mountain of the Alps,2,8,1030000
Alps's tallest mountain's height in yards,3,6,1004000
Alps's tallest mountain's type,2,4,842000
half life of uranium,1,4,604000
half life of uranium in terrayears,2,6,786000
half life of uranium in years,2,6,1296000
thorium's half life in sec,2,5,820000
24 human years to cat years,1,6,700000
largest diamond mine location,1,4,594000
capital of the location of the world's largest island,3,9,1180000
scrabble score of word age,1,5,702000
scrabble score of word dangerous,2,5,2482000
apple company's market cap,1,4,730000
salary of chief executive officer of Apple,2,7,882000
population of the New York City,1,6,1906000
population of the largest city in the continent of Hungary,3,10,1138000
population density of the largest city in the continent of Hungary,3,11,1212000
population of largest city in the world,2,7,1182000
How big is San Francisco's Chinatown,2,6,918000
current time at Buenos Aires,1,5,682000
Buenos Aires's country's local time,2,5,1092000
Paris of South America,1,4,622000
age of the pope from Buenos Aires,2,7,996000
predecessor of the pope from Buenos Aires,2,7,894000
founding date of Paris of South America,2,7,902000
the president of Brazil 400 years after the founding date of Paris of South America,3,15,2108000
the president of Brazil 450 years after the founding date of Paris of South America,3,15,1784000
South America's Paris's population,2,4,1042000
Dalai Lama's name,1,3,2298000
Dalai Lama's country,1,3,950000
Dalai Lama's country's president,2,4,1000000
Apollo 11's earth landing date,1,5,814000
largest city in the land of the rising sun,2,9,1446000
currency unit of the largest city in the land of the rising sun,3,13,2672000
square root of the smallest prime number,1,7,970000
square of the smallest prime number,1,6,838000
square of the smallest odd prime number,1,7,2236000
square of the square of the smallest prime number,2,9,1084000
square of the square root of the square of the smallest prime number,3,13,1442000
square of the square of the square root of the square of the smallest prime number,4,16,1972000
cube of the square root of the square of the smallest prime number,3,13,2554000
cube of the cube of the square root of the square of the smallest prime number,4,16,2554000
cube of the cube of the square root of the square of the smallest prime number,4,16,2486000
cube root of the cube of the cube of the square root of the square of the smallest prime number,5,20,2416000
square of the digit sum of 123456789,2,7,1740000
prime factorization of the digit sum of 123456789,2,8,2254000
square of binary form of 2,2,6,1846000
binary form of square of binary form of 2,3,9,2272000
binary form of the square of the digit sum of 123456789,3,11,1312000
number of fives in 2400,2,5,1162000
square of the number of fives in 2400,3,8,1768000
square of the number of fives in 5555,3,8,1136000
square of the number of threes in 65334332,3,8,1128000
square of square of the number of threes in 65334332,4,10,1632000
square root of the square root of the square of the number of fives in 5555,5,16,1834000
pvc's median density in kg/cc,2,5,1062000
mass density of carbon,1,4,930000
carbon's mass density,1,3,946000
coastline length of Asia,1,4,648000
sum of five and the coastline length of Europe,2,9,1090000
square root of sum of five and the coastline length of Europe,3,12,1372000
square of floor of 5/3,2,5,1288000
cube of the ceiling of 85 divided by 9,3,9,1940000
cube root of the square of floor of 85 divided by 9,4,12,3776000
cube of ceiling of 85 divided by 9,3,8,1074000
What was the age of Leonardo da Vinci when the Mona Lisa was painted,2,14,1662000
IUPAC name of the chemical formula of nylon-66,2,8,1138000
Nylon-66's melting point at 5 bar,1,6,996000
year of Battle of Zama,2,5,1698000
cholesterol value of the richest food by dietary fiber,2,9,2154000
last person to set foot on the moon,1,8,3880000
space missions of the last person that set foot on the moon,2,12,3788000
Persian Gulf War's end date,1,5,1474000
Kuwait's leader on Persian Gulf War's end date,-1,8,
week number of Persian Gulf War's end date,2,8,1262000
alternate name of the Persian Gulf War,1,7,1072000
leader of Kuwait when the Persian Gulf War ended,2,9,1294000
largest exporter of tobacco,1,4,670000
capital of the country of the largest exporter of tobacco,3,10,2294000
largest importer of tobacco,1,4,1462000
richest country of Eastern Europe,1,5,852000
capital of the richest country of Eastern Europe,2,8,1150000
smallest town in central Europe,1,5,840000
continent of the oldest country,1,5,754000
oldest country's continent,1,3,648000
lead actor in the highest grossing movie of the world,2,10,1346000
country of the lead actor in the highest grossing movie of the world,3,13,1636000
director of the highest grossing movie of the world,2,9,1260000
age of the director of the highest grossing movie of the world,3,12,1568000
Who acted in the highest grossing movie of the world,2,10,1432000
Can you fail the Turing test,1,6,746000
percentage value of the world's average death rate,2,8,2160000
Vancouver's sunrise time,1,3,1136000
time difference from Vancouver's sunrise time,2,6,1186000
number of months having thirty days,1,6,1246000
seconds in the time difference from Vancouver's sunrise time,3,9,1498000
Vancouver's sunrise time's difference in seconds,3,6,1510000
distance to the nearest exoplanet,1,5,942000
highest life expectancy of middle east,1,6,1642000
middle east's highest life expenctancy in weeks,2,7,1994000
middle east's highest life expenctancy in dog years,2,8,2296000
currency of the country of King David,2,7,1198000
country of the currency of the country of King David,3,10,2320000
president of the country of the currency of the country of King David,4,13,3702000
president of the country of the currency of King David's country,4,11,1414000
date of death of king David,2,6,822000
date of death of king Solomon's father,3,7,1720000
year difference from date of death of king Solomon's father,4,10,1304000
How many people can be fed by the income of the richest man in the world,3,16,1744000
crime rate of California,1,4,678000
California's crime rate multiplied with the population of California,3,9,3664000
mayor of California,1,3,646000
California's population against France's population,-1,5,
richest country in Middle East,1,5,828000
ruler of the richest country in Middle East,2,8,1236000
start date of the ruler of the richest country in Middle East,3,12,4750000
the president of USA at start date of the ruler of the richest country in Middle East,4,17,1802000
military expenditure of the country of the 2nd largest military in the world,3,13,1450000
UAE's largest city,1,3,608000
UAE's largest city's nearest city under 15km,3,7,3248000
population of UAE's largest city's nearest city under 15km,3,9,1478000
current weather of UAE's largest city's nearest city under 15km,3,10,1892000
nearest sea of UAE's largest city's nearest city,3,8,1166000
nearest sea from the location of highest building of Middle East,3,11,1902000
structural engineer of highest building of Middle East,2,8,976000
nationality of the structural engineer of Middle East's highest building,3,10,1266000
birth place of the structural engineer of Middle East's highest building,3,11,1820000
age of the structural engineer of Middle East's highest building,3,10,1522000
continent of the birth place of the structural engineer of Middle East's highest building,4,14,3016000
continent of the birth place of the Middle East's highest building's structural engineer,4,13,1734000
continent of Middle East's highest building's structural engineer's birth place,4,10,1708000
Wolfram Alpha's daily visitors,1,4,870000
Google's daily visitors,1,3,1110000
5 feet in meters,1,4,1042000
the capital of the country where Opera House is located,2,10,1324000
Where is Opera House located,1,5,882000
Sudan's poverty against Russia's poverty,-1,5,
ceiling of Sudan's poverty,2,4,1414000
country with least unemployment,1,4,1084000
president of the country with least unemployment,2,7,958000
continent of the country with least unemployment,2,7,1746000
the country with most unemployment in the continent of the country with least unemployment,4,14,1808000
What is the population of the country with most unemployment,2,10,2038000
area of the continent of the country with most unemployment,3,10,1890000
10000 current US dollars in 1910,1,6,1036000
CAD equivalent of California's housing cost,2,6,1498000
yen equivalent of California's housing cost,2,6,1006000
10 percent of yen equivalent of California's housing cost,3,9,1302000
California's housing cost to Kuwaiti Fils,2,6,976000
director of the movie starring Angelina Jolie on 2014,2,9,1192000
age of the director of the movie starring Angelina Jolie on 2014,3,12,1656000
height of the largest dinosaur,1,5,746000
country where velociraptor was present,1,5,746000
diet of velociraptor,1,3,590000
difference of Velociraptor's height and T Rex's height,-1,8,
count of people named Wolfram,1,5,792000
manufacturer of F-14 Tomcat,1,4,700000
country of the manufacturer of F-14 Tomcat,2,7,1426000
F-14 Tomcat's manufacturer,1,3,606000
age of the oldest living woman in the world,2,9,1106000
age of the oldest living woman in Japan,2,8,1056000
What is the capital of the country of the oldest living woman in the world,3,15,1922000
days until International Workers' Day,2,5,836000
GMT to IST,1,3,536000
when was Titanic released,1,4,590000
when was Haven released,1,4,588000
when was Avengers released,1,4,646000
when was Limelight released,1,4,586000
when was Mermaids released,1,4,774000
when was Fear released,1,4,636000
when was Wings released,1,4,640000
when was Aliens released,1,4,762000
when was Argo released,1,4,646000
when was Goodfellas released,1,4,662000
when was Wolf released,1,4,590000
when was Brave released,1,4,616000
when was Pinocchio released,1,4,780000
when was Gravity released,1,4,588000
when was Skyfall released,1,4,754000
when was Cinderella released,1,4,640000
when was Divergent released,1,4,640000
release date of Titanic,1,4,762000
release date of Haven,1,4,662000
release date of Avengers,1,4,670000
release date of Limelight,1,4,1198000
release date of Mermaids,1,4,648000
release date of Argo,1,4,660000
release date of Goodfellas,1,4,684000
release date of Wolf,1,4,658000
release date of Maleficent,1,4,660000
release date of Planes,1,4,658000
release date of Jumanji,1,4,672000
release date of Frozen,1,4,616000
release date of Brave,1,4,1230000
release date of Pinocchio,1,4,612000
release date of Gravity,1,4,670000
release date of Skyfall,1,4,776000
release date of Cinderella,1,4,654000
release date of Divergent,1,4,706000
director of Titanic,1,3,732000
director of Haven,1,3,594000
director of Avengers,1,3,600000
director of Limelight,1,3,536000
director of Mermaids,1,3,536000
director of Fear,1,3,1294000
director of Wings,1,3,538000
director of Aliens,1,3,696000
director of Argo,1,3,578000
director of Goodfellas,1,3,698000
director of Wolf,1,3,580000
director of Maleficent,1,3,630000
director of Planes,1,3,586000
director of Jumanji,1,3,730000
director of Frozen,1,3,590000
director of Brave,1,3,956000
director of Pinocchio,1,3,1156000
director of Gravity,1,3,586000
Titanic's director,1,2,532000
Haven's director,1,2,786000
Avengers's director,1,2,528000
Limelight's director,1,2,766000
Mermaids's director,1,2,578000
Fear's director,1,2,534000
Wings's director,1,2,642000
Aliens's director,1,2,586000
Argo's director,1,2,850000
Goodfellas's director's age,2,3,764000
Wolf's director's age,2,3,1048000
Brave's director's age,2,3,888000
Pinocchio's director's age,2,3,776000
Gravity's director's age ,2,3,710000
Skyfall's director's age,2,3,1376000
Cinderella's director's age,2,3,766000
Divergent's director's age,2,3,828000
release date of Titanic's director's first movie,3,7,1388000
release date of Haven's director's first movie,3,7,1208000
release date of Avengers's director's first movie,3,7,1096000
release date of Limelight's director's first movie,3,7,1388000
release date of Mermaids's director's first movie,3,7,1346000
release date of Fear's director's first movie,3,7,1094000
release date of Wings's director's first movie,3,7,1190000
release date of Aliens's director's first movie,3,7,3236000
release date of Argo's director's first movie,3,7,1172000
release date of Goodfellas's director's first movie,3,7,1100000
release date of Wolf's director's first movie,3,7,3300000
release date of Frozen's director's first movie,3,7,1098000
release date of Brave's director's first movie,3,7,1216000
release date of Pinocchio's director's first movie,3,7,2020000
release date of Gravity's director's first movie,3,7,1100000
release date of Skyfall's director's first movie,3,7,1174000
release date of Cinderella's director's first movie,3,7,1204000
release date of Divergent's director's first movie,3,7,1096000
president of usa when Titanic was released,2,7,952000
president of usa when Haven was released,2,7,1068000
president of usa when Avengers was released,2,7,1376000
president of usa when Limelight was released,2,7,882000
president of usa when Mermaids was released,2,7,1052000
president of usa when Fear was released,2,7,2560000
president of usa when Wings was released,2,7,944000
president of usa when Aliens was released,2,7,908000
president of usa when Argo was released,2,7,1868000
president of usa when Wolf was released,2,7,932000
president of usa when Maleficent was released,2,7,1018000
president of usa when Planes was released,2,7,2552000
president of usa when Jumanji was released,2,7,942000
president of usa when Frozen was released,2,7,954000
president of usa when Brave was released,2,7,936000
president of usa when Pinocchio was released,2,7,1178000
president of usa when Gravity was released,2,7,1000000
president of usa when Skyfall was released,2,7,934000
president of usa when Cinderella was released,2,7,1260000
president of usa when Divergent was released,2,7,932000
president of usa on the release date of the first movie of the director of Titanic,4,16,2076000
president of usa on the release date of the first movie of the director of Haven,4,16,1932000
president of usa on the release date of the first movie of the director of Avengers,4,16,1714000
president of usa on the release date of the first movie of the director of Limelight,4,16,1718000
president of usa on the release date of the first movie of the director of Mermaids,4,16,1766000
president of usa on the release date of the first movie of the director of Fear,4,16,2586000
president of usa on the release date of the first movie of the director of Wings,4,16,2232000
president of usa on the release date of the first movie of the director of Aliens,4,16,1722000
president of usa on the release date of the first movie of the director of Argo,4,16,1734000
president of usa on the release date of the first movie of the director of Goodfellas,4,16,1798000
president of usa on the release date of the first movie of the director of Wolf,4,16,4282000
president of usa on the release date of the first movie of the director of Maleficent,4,16,1640000
president of usa on the release date of the first movie of the director of Planes,4,16,1744000
president of usa on the release date of the first movie of the director of Jumanji,4,16,2780000
president of usa on the release date of the first movie of the director of Frozen,4,16,2258000
president of usa on the release date of the first movie of the director of Brave,4,16,1646000
president of usa on the release date of the first movie of the director of Pinocchio,4,16,2204000
president of usa on the release date of the first movie of the director of Gravity,4,16,1862000
president of usa on the release date of the first movie of the director of Skyfall,4,16,2038000
president of usa on the release date of the first movie of the director of Cinderella,4,16,4686000
president of usa on the release date of the first movie of the director of Divergent,4,16,1714000
spouse of the president of usa on the release date of the first movie of the director of Titanic,5,19,1958000
spouse of the president of usa on the release date of the first movie of the director of Haven,5,19,1986000
spouse of the president of usa on the release date of the first movie of the director of Avengers,5,19,2130000
spouse of the president of usa on the release date of the first movie of the director of Mermaids,5,19,2266000
spouse of the president of usa on the release date of the first movie of the director of Fear,5,19,2258000
spouse of the president of usa on the release date of the first movie of the director of Wings,5,19,1970000
spouse of the president of usa on the release date of the first movie of the director of Aliens,5,19,1960000
spouse of the president of usa on the release date of the first movie of the director of Argo,5,19,2184000
spouse of the president of usa on the release date of the first movie of the director of Goodfellas,5,19,2806000
spouse of the president of usa on the release date of the first movie of the director of Wolf,5,19,2612000
spouse of the president of usa on the release date of the first movie of the director of Maleficent,5,19,2230000
spouse of the president of usa on the release date of the first movie of the director of Planes,5,19,2054000
spouse of the president of usa on the release date of the first movie of the director of Jumanji,5,19,3784000
spouse of the president of usa on the release date of the first movie of the director of Frozen,5,19,3718000
spouse of the president of usa on the release date of the first movie of the director of Brave,5,19,3476000
spouse of the president of usa on the release date of the first movie of the director of Pinocchio,5,19,3512000
spouse of the president of usa on the release date of the first movie of the director of Gravity,5,19,2808000
spouse of the president of usa on the release date of the first movie of the director of Skyfall,5,19,2382000
spouse of the president of usa on the release date of the first movie of the director of Cinderella,5,19,2354000
spouse of the president of usa on the release date of the first movie of the director of Divergent,5,19,2296000
